"filename", "language", "YAML", "Ignore", "Markdown", "JavaScript", "HTML", "JavaScript JSX", "PostCSS", "JSON", "comment", "blank", "total"
"c:\projects\github\StudyBuddy\.dockerignore", "Ignore", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\projects\github\StudyBuddy\README.md", "Markdown", 0, 0, 89, 0, 0, 0, 0, 0, 0, 37, 126
"c:\projects\github\StudyBuddy\backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1881, 0, 1, 1882
"c:\projects\github\StudyBuddy\backend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 27
"c:\projects\github\StudyBuddy\backend\src\app.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 1, 7, 32
"c:\projects\github\StudyBuddy\backend\src\controllers\admin.controller.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 0, 6, 56
"c:\projects\github\StudyBuddy\backend\src\controllers\auth.controller.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"c:\projects\github\StudyBuddy\backend\src\controllers\profile.controller.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\projects\github\StudyBuddy\backend\src\controllers\schedule.controller.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\projects\github\StudyBuddy\backend\src\controllers\upload.controller.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\projects\github\StudyBuddy\backend\src\db.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 9, 82
"c:\projects\github\StudyBuddy\backend\src\middlewares\admin.middleware.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\projects\github\StudyBuddy\backend\src\middlewares\auth.middleware.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\projects\github\StudyBuddy\backend\src\middlewares\validate.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\projects\github\StudyBuddy\backend\src\repositories\admin.repository.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 10, 40
"c:\projects\github\StudyBuddy\backend\src\repositories\auth.repository.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 5, 37
"c:\projects\github\StudyBuddy\backend\src\repositories\pet.repository.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 11, 51
"c:\projects\github\StudyBuddy\backend\src\repositories\profile.repository.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 9, 34
"c:\projects\github\StudyBuddy\backend\src\repositories\schedule.repository.js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 24, 116
"c:\projects\github\StudyBuddy\backend\src\routes\admin.route.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 7, 16
"c:\projects\github\StudyBuddy\backend\src\routes\auth.route.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\projects\github\StudyBuddy\backend\src\routes\profile.route.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 10, 57
"c:\projects\github\StudyBuddy\backend\src\routes\schedule.route.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"c:\projects\github\StudyBuddy\backend\src\schemas\auth.schemas.js", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\projects\github\StudyBuddy\backend\src\schemas\profile.schemas.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\projects\github\StudyBuddy\backend\src\schemas\schedule.schemas.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\projects\github\StudyBuddy\backend\src\server.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 3, 12, 53
"c:\projects\github\StudyBuddy\backend\src\services\admin.service.js", "JavaScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 6, 50
"c:\projects\github\StudyBuddy\backend\src\services\auth.service.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 15, 50
"c:\projects\github\StudyBuddy\backend\src\services\pet.service.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 14, 56
"c:\projects\github\StudyBuddy\backend\src\services\profile.service.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 13, 35
"c:\projects\github\StudyBuddy\backend\src\services\schedule.service.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 8, 67
"c:\projects\github\StudyBuddy\backend\src\services\token.service.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\projects\github\StudyBuddy\backend\src\services\upload.service.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\projects\github\StudyBuddy\backend\src\ws\pet.socket.js", "JavaScript", 0, 0, 0, 78, 0, 0, 0, 0, 1, 27, 106
"c:\projects\github\StudyBuddy\docker-compose-dev.yaml", "YAML", 47, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\projects\github\StudyBuddy\docker-compose-prod.yaml", "YAML", 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\projects\github\StudyBuddy\frontend\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\projects\github\StudyBuddy\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 3154, 0, 1, 3155
"c:\projects\github\StudyBuddy\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\projects\github\StudyBuddy\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 2, 24
"c:\projects\github\StudyBuddy\frontend\src\api\api.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 2, 9, 34
"c:\projects\github\StudyBuddy\frontend\src\components\admin\AdminButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 59, 0, 0, 0, 15, 74
"c:\projects\github\StudyBuddy\frontend\src\components\admin\AdminButton.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"c:\projects\github\StudyBuddy\frontend\src\components\admin\AdminPanel.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\projects\github\StudyBuddy\frontend\src\components\admin\AdminPanel.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 75, 0, 1, 15, 91
"c:\projects\github\StudyBuddy\frontend\src\components\admin\tabs\DebugTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
"c:\projects\github\StudyBuddy\frontend\src\components\admin\tabs\PetTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 12, 44
"c:\projects\github\StudyBuddy\frontend\src\components\admin\tabs\ScheduleTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 115, 0, 0, 2, 22, 139
"c:\projects\github\StudyBuddy\frontend\src\components\admin\tabs\UsersTab.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 0, 0, 16, 90
"c:\projects\github\StudyBuddy\frontend\src\components\admin\tabs\UsersTab.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 82, 0, 5, 13, 100
"c:\projects\github\StudyBuddy\frontend\src\components\avatar-upload\AvatarUpload.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"c:\projects\github\StudyBuddy\frontend\src\components\avatar-upload\AvatarUpload.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"c:\projects\github\StudyBuddy\frontend\src\components\avatar\Avatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\projects\github\StudyBuddy\frontend\src\components\avatar\Avatar.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 45, 0, 0, 7, 52
"c:\projects\github\StudyBuddy\frontend\src\components\error\Error.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\projects\github\StudyBuddy\frontend\src\components\error\Error.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\projects\github\StudyBuddy\frontend\src\components\forms\AddEventForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"c:\projects\github\StudyBuddy\frontend\src\components\forms\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"c:\projects\github\StudyBuddy\frontend\src\components\forms\RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 8, 35
"c:\projects\github\StudyBuddy\frontend\src\components\forms\ScheduleForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\projects\github\StudyBuddy\frontend\src\components\forms\SettingsForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 12, 66
"c:\projects\github\StudyBuddy\frontend\src\components\input\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"c:\projects\github\StudyBuddy\frontend\src\components\input\Input.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\projects\github\StudyBuddy\frontend\src\components\layout\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\projects\github\StudyBuddy\frontend\src\components\layout\Layout.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\projects\github\StudyBuddy\frontend\src\components\modal\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 108, 0, 0, 8, 18, 134
"c:\projects\github\StudyBuddy\frontend\src\components\modal\Modal.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 114, 0, 8, 22, 144
"c:\projects\github\StudyBuddy\frontend\src\components\navbar\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 3, 33
"c:\projects\github\StudyBuddy\frontend\src\components\navbar\Navbar.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 43, 0, 2, 18, 63
"c:\projects\github\StudyBuddy\frontend\src\components\pet\Pet.css", "PostCSS", 0, 0, 0, 0, 0, 0, 32, 0, 0, 6, 38
"c:\projects\github\StudyBuddy\frontend\src\components\pet\PetActions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\projects\github\StudyBuddy\frontend\src\components\pet\PetAvatar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 4, 18
"c:\projects\github\StudyBuddy\frontend\src\components\pet\PetStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 2, 3, 15
"c:\projects\github\StudyBuddy\frontend\src\components\protected-route\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\projects\github\StudyBuddy\frontend\src\components\schedule\DailySchedule\DailySchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 17, 97
"c:\projects\github\StudyBuddy\frontend\src\components\schedule\DailySchedule\DailySchedule.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 69, 0, 9, 22, 100
"c:\projects\github\StudyBuddy\frontend\src\components\schedule\Schedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 8, 74
"c:\projects\github\StudyBuddy\frontend\src\components\schedule\Schedule.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\projects\github\StudyBuddy\frontend\src\components\schedule\WeeklySchedule\WeeklySchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 13, 80
"c:\projects\github\StudyBuddy\frontend\src\components\schedule\WeeklySchedule\WeeklySchedule.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 63, 0, 6, 20, 89
"c:\projects\github\StudyBuddy\frontend\src\components\schedule\schedule.utils.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 9, 43
"c:\projects\github\StudyBuddy\frontend\src\components\sidebar\SidebarButtons.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\projects\github\StudyBuddy\frontend\src\components\sidebar\SidebarButtons.module.css", "PostCSS", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\projects\github\StudyBuddy\frontend\src\context\AdminContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 12, 49
"c:\projects\github\StudyBuddy\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 16, 83
"c:\projects\github\StudyBuddy\frontend\src\context\PetSocketContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 6, 21
"c:\projects\github\StudyBuddy\frontend\src\context\ScheduleContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 0, 16, 79
"c:\projects\github\StudyBuddy\frontend\src\hooks\usePetSocket.js", "JavaScript", 0, 0, 0, 97, 0, 0, 0, 0, 1, 29, 127
"c:\projects\github\StudyBuddy\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\projects\github\StudyBuddy\frontend\src\pages\AuthPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 0, 17, 92
"c:\projects\github\StudyBuddy\frontend\src\pages\PetPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 0, 0, 30, 117
"c:\projects\github\StudyBuddy\frontend\src\pages\ProfilePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 20, 119
"c:\projects\github\StudyBuddy\frontend\src\pages\SchedulePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\projects\github\StudyBuddy\frontend\src\pages\WelcomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\projects\github\StudyBuddy\frontend\src\routesConfig.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\projects\github\StudyBuddy\frontend\src\schemas\auth.schemas.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\projects\github\StudyBuddy\frontend\src\schemas\profile.schemas.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\projects\github\StudyBuddy\frontend\src\schemas\schedule.schemas.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\projects\github\StudyBuddy\frontend\src\styles\PetPage.css", "PostCSS", 0, 0, 0, 0, 0, 0, 93, 0, 6, 13, 112
"c:\projects\github\StudyBuddy\frontend\src\styles\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\projects\github\StudyBuddy\frontend\src\styles\normalize.css", "PostCSS", 0, 0, 0, 0, 0, 0, 106, 0, 70, 24, 200
"c:\projects\github\StudyBuddy\frontend\vite.config.js", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 78, 4, 89, 1164, 16, 1552, 868, 5092, 127, 857, 9847
